ID,Site,Layer,Core.type,Core.classification,Core.classification.2,Laminar,Carinated,Core.blank,Platform.number,Surfaces.number,Blank.production,Bipolar.core,Striking.platform,Second.striking.platform,Flaking.surface,Reduction.pattern,Length,Width,Thickness,Flaking.surface.length,Flaking.surface.width,Second.flaking.surface.length,Second.flaking.surface.width,Last.removal.blank,Last.removal.length,Last.removal.width,Cortex,Cortex.position.core,Flaking.surface.profile,Second.flaking.surface.profile,Ratio_fsl_thickness,Ratio_l_t,Ratio_fsl_width,Ratio_l_w,Ratio_w_t,Volume,Area,raw.material.source,raw.material.type,raw.material.lumped,raw.material.provenience,scars.platform,scars.flaking.surface,scars.total,SDI,logSDI,X3D,Scanner
RB_558,RB,A1,Carinated,Carinated,Carinated core,yes,yes,Block,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,28.79999924,36.29999924,63.20000076,31.5,28.39999962,NA,NA,Flake,11.8,10.5,33-66%,Back;Lateral right,NA,NA,0.498417716,0.455696185,0.867768613,0.793388425,0.57436707,30753.66992,6468.583046,Local,Chert,Local,Local,1,10,11,0.001700527,-2.769416473,yes,Artec.Spider
RB_559,RB,A1,Multidirectional,Multidirectional,Multidirectional,no,no,Block,2-opposed,2,Flake,FALSE,Natural/Unprepared,Plain,NA,NA,48.79999924,38.20000076,27.10000038,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,1.800737954,NA,1.277486866,1.409594104,19198.46094,4410.867148,Local,Chert,Local,Local,0,10,10,0.002267128,-2.644523977,yes,Artec.Spider
RB_560,RB,A1,Platform laminar,Semi-circumferential,Semi-circumferential,yes,no,Block,1,1,Blade;Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,36.79999924,31.60000038,45.79999924,37,32.40000153,NA,NA,Bladelet,20.6,9.7,1-33%,Lateral right,Slightly-Convex,NA,0.807860275,0.803493447,1.170886062,1.164556924,0.689956352,31921.19922,6144.988409,Local,Chert,Local,Local,2,23,25,0.004068356,-2.390581059,yes,Artec.Spider
RB_561,RB,A1,Platform laminar,Semi-circumferential,Semi-circumferential,yes,no,Block,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Convergent,41.90000153,37.40000153,35.20000076,40.70000076,37.40000153,NA,NA,Bladelet,20.8,6.1,1-33%,Back;Base,NA,NA,1.156249997,1.190340927,1.08823527,1.120320851,1.06250002,22038.07227,4587.596141,Local,Chert,Local,Local,2,21,23,0.005013519,-2.299857343,yes,Artec.Spider
RB_562,RB,A1,Platform laminar,Multi-platform,Multi-platform;Semi-circumferential,yes,no,Block,2-unrelated,1,Bladelet,FALSE,Plain,Cortical,Unidirectional,Sub-parallel,30.39999962,22.29999924,31.39999962,23.1,29.5,NA,NA,Bladelet,22,8.4,1-33%,Lateral left,NA,NA,0.735668799,0.968152866,1.035874475,1.363228729,0.710191067,10776.55859,2935.602394,Local,Chert,Local,Local,2,14,16,0.005450329,-2.263577251,yes,Artec.Spider
RB_563,RB,A1,Platform laminar,Semi-circumferential,Semi-circumferential,yes,no,Block,1,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Convergent,29.60000038,30,38.40000153,28,29.10000038,NA,NA,Bladelet,19.5,8.2,1-33%,Lateral right,NA,NA,0.729166638,0.770833313,0.933333333,0.986666679,0.781249969,12776.66895,3272.363318,Local,Chert,Local,Local,6,25,31,0.009473276,-2.023499822,yes,Artec.Spider
RB_564,RB,A1,Initial,Initial laminar,Initial wide-faced flat,yes,no,Block,1,1,Bladelet-Flake,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,30.5,37.20000076,24.60000038,22.39999962,36.5,NA,NA,Flake,21.6,20.9,33-66%,Back,NA,NA,0.910569076,1.239837379,0.602150515,0.819892456,1.51219513,7987.208984,2604.408616,Local,Chert,Local,Local,6,11,17,0.006527394,-2.185260202,yes,Artec.Spider
RB_565,RB,A1,Multidirectional,Multidirectional,Multidirectional,no,no,Undetermined,2-opposed,2,Flake,FALSE,NA,NA,NA,NA,31.79999924,28.10000038,16.70000076,NA,NA,NA,NA,NA,NA,NA,1-33%,Base,NA,NA,NA,1.904191484,NA,1.131672555,1.682634677,7119.359863,2264.130136,Local,Chert,Local,Local,0,16,16,0.007066732,-2.150781403,yes,Artec.Spider
RB_566,RB,A1,Platform laminar,Wide-faced flat,Wide-faced flat,yes,no,Pebble,1,1,Bladelet-Flake,FALSE,Plain,NA,Unidirectional,Convergent,31.70000076,36.70000076,13.60000038,31.20000076,37,NA,NA,Bladelet,25,9.4,33-66%,Back;Base,NA,NA,2.294117639,2.330882344,0.850136243,0.863760221,2.698529392,6535.176758,2164.267155,Local,Chert,Local,Local,1,14,15,0.006930753,-2.15921961,yes,Artec.Spider
RB_567,RB,A1,Platform laminar,Semi-circumferential,Semi-circumferential,yes,no,Undetermined,1,2,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,19.79999924,25.10000038,20.29999924,19.20000076,23.5,14.10000038,21.20000076,Bladelet,15.9,7,0%,NA,NA,NA,0.945812881,0.975369457,0.764940258,0.788844579,1.236453267,3759.762451,1449.142317,Local,Chert,Local,Local,2,13,15,0.01035095,-1.98501978,yes,Artec.Spider
